0, ,<,1

1,0,<,1
1,1,<,1
1,2,<,1
1, ,>,4
1,-,>,2

2,0,>,2
2,1,>,2
2,2,>,2
2, ,>,3

3, ,-,3
3,-,<,5

4,0,>,4
4,1,>,4
4,2,>,4
4, , ,5

5, ,<,6
6,0, ,40
6,1, ,41
6,2, ,42
6,-,>,8
6, ,>,8
7,0,<,6
7,1,<,6
7,2,<,6
8,0,>,8
8,1,>,8
8,2,>,8
8, ,>,9
9,0,>,9
9,1,>,9
9,2,>,9
9,-,>,9
9, , ,9


40, ,>,50
50,0,>,50
50,1,>,50
50,2,>,50
50, ,>,60
60,-,>,60
60,0,>,60
60,1,>,60
60,2,>,60
60, ,0,70
70,0,<,70
70,1,<,70
70,2,<,70
70,-,<,70
70, ,<,80
80,0,<,80
80,1,<,80
80,2,<,80
80, ,0,7

41, ,>,51
51,0,>,51
51,1,>,51
51,2,>,51
51, ,>,61
61,-,>,61
61,0,>,61
61,1,>,61
61,2,>,61
61, ,1,71
71,0,<,71
71,1,<,71
71,2,<,71
71,-,<,71
71, ,<,81
81,0,<,81
81,1,<,81
81,2,<,81
81, ,1,7

42, ,>,52
52,0,>,52
52,1,>,52
52,2,>,52
52, ,>,62
62,-,>,62
62,0,>,62
62,1,>,62
62,2,>,62
62, ,2,72
72,0,<,72
72,1,<,72
72,2,<,72
72,-,<,72
72, ,<,82
82,0,<,82
82,1,<,82
82,2,<,82
82, ,2,7
